X,real_value,question,answer_real,Y1,A1,B1,C1,D1,answer1,answer1_real,Y2,A2,B2,C2,D2,answer2,answer2_real,Y3,A3,B3,C3,D3,answer3,answer3_real,YC1,AC1,BC1,CC1,DC1,answerC1,answerC1_real,YC2,AC2,BC2,CC2,DC2,answerC2,answerC2_real
pi,3.14159,What is pi multiplied by 3?,9.4248,4.5,9,9.4248,13.5,15,C,B,500,9,9.4248,500,1500,D,B,-10,9,9.4248,-30,30,C,B,phi,1.61803,4.854,3.14159,9.4248,B,D,the Planck's constant,1.9878,1.9878×10^(−33),3.14159,9.4248,B,D
e,2.71828,What is e^2?,7.389,9,7.389,9,18,81,D,A,1300,7.389,9,1300,"1,690,000",D,A,1.5×10^(−12),7.389,9,1.5×10^(−12),2.25×10^(−24),D,A,pi,3.14159,7.389,9.8696,12.5427,C,B,the Boltzmann constant,1.904×10^(−46),1.904,2.71828,7.389,A,D
phi,1.61803,What is 5*phi-2?,6.0902,3.6,1.61803,6.0902,16,18,C,B,321,1603,8.09,321,6.0902,A,D,-2.2,-4,6.0902,-13,-6.0902,C,B,e,1.61803,6.0902,8.5239,11.5914,D,B,the Avogadro's number,6.0902,8.0902,3.011×10^24,3.011,C,A
the speed of light,"299,792,458 meters per second",How much time (in seconds) does it take light to travel a distance of 100 million kilometers?,333.56 seconds,2.3×10^8 meters per second,101.83 seconds,434.78 seconds,333.56 seconds,500 seconds,B,C,10 meters per second,10 seconds,10^10 seconds,333.56 seconds,10^8 seconds,B,C,-4×10^8 meters per second,-250 seconds,-500 seconds,100 seconds,333.56 seconds,A,D,the Avogadro's number,1.67×10^(−13) seconds,1.67 seconds,333.56 seconds,3.35×10^(−13) seconds,A,C,the elementary charge,3.33×10^29 seconds,333.56 seconds,630.33 seconds,6.24×10^29 seconds,D,B
the gravitational constant,6.674×10^(−11) m^3/kg*s^2,What the gravitational constant multiplied by 7?,4.6718×10^(−10),1.1×10^(−10) m^3/kg*s^2,7.7×10^(−10) m^3/kg*s^2,7.7×10^(−11) m^3/kg*s^2,4.6718×10^(−11),4.6718×10^(−10),A,D,50,50,4.6718×10^(−11),350,4.6718×10^(−10),C,D,-525,3675,-3675,4.6718×10^(−11),4.6718×10^(−10),B,D,the elementary charge,4.6718×10^(−10),6.674×10^(−11) ,1.1214×10^(−18),3.1454×10^(−19),C,A,pi,3.14159,21.991,4.6718×10^(−10),4.6718,B,C
the Planck's constant,6.626×10^(−34) J*s,"If the frequency of a photon is 4 Hz, what is its energy? Use the formula E=h*ν.",2.65×10^(−33) J,5×10^(−33) J*s,2×10^(−32) J,2×10^(−33) J,2.65×10^(−33) J,2.65×10^(−34) J,A,C,482,482,1928 J,2.65×10^(−33) J,2.65×10^(−34) J,B,C,-0.2,-0.2 J,-0.8 J,2.65×10^(−33) J,2.65×10^(−34) J,B,C,the Boltzmann constant,5.52×10^(−23) J,2.65×10^(−23) J,2.65×10^(−33) J,6.51×10^(−33) J,A,C,phi,6.472 J,8.369 J,6.472×10^(−33) J,2.65×10^(−33) J,A,D
the elementary charge,1.602×10^(−19) C,"If an electron has a charge of −e, what is the charge of two electrons?",−3.204×10^(−19) C,2.4×10^(−21) C,−3.204×10^(−19) C,3.204×10^(−19) C,-4.8×10^(−21) C,-1.602×10^(−19) C,C,A,3×10^4 C,-6×10^4 C,6×10^4 C,3.204×10^(−19) C,−3.204×10^(−19) C,A,D,3×10^50 C,−3.204×10^(−19) C,6×10^50 C,-6×10^50 C,3.204×10^(−19) C,C,A,the vacuum electric permittivity,1.7708×10^(−11) C,-1.7708×10^(−11) C,1.7708×10^(−11) C,-1.7708×10^(−11) C,B,D,pi,−3.204×10^(−19) C,3.204×10^(−19) C,-6.28 C,6.28 C,C,A
the Avogadro's number,6.022×10^23 mol^(−1),How many atoms are there in 1 mole of any element?,6.022×10^23,8.23×10^23 mol^(−1),6.022×10^23,8.23×10^23,1,6.022,B,A,75 mol^(−1),6.022×10^23,75×10^23,75,6.022,C,B,-1,-1,6.022×10^23,-6.022×10^23,6.022,A,B,the gas constant,6.022,8.314×10^23,6.022×10^23,8.314,D,B,e,2.71828,6.022×10^23,9.3574,6.022×10^23,A,D
the Boltzmann constant,1.380649×10^(−23) J/K,Calculate the energy associated with a temperature of 300 K for a single particle using the formula E=kT.,4.14×10^(−21) J,4.56×10^(−24) J/K,1.368×10^(−21) J,4.14×10^(−23) J,1.380649×10^(−20) J/K,4.14×10^(−21) J,A,D,80 J/K,4.14×10^(−23) J,4.14×10^(−21) J,80 J,"24,000 J",D,B,-9.9×10^(-3) J/K,-9.9×10^(-3) J,4.14×10^(−23) J,4.14×10^(−21) J,-2.97 J,D,C,the vacuum electric permittivity,2.6562×10^(−21) J,1.380649×10^(−23) J,2.6562×10^(−9) J,4.14×10^(−21) J,C,D,pi,9.4248,942.477 J,4.14×10^(−21) J,4.14×10^(−23) J,B,C
the gas constant,8.314 J/(mol*K),What is the gas constant divided by 2?,4.157,13 J/(mol*K),4.157,3,4,6.5,D,A,3500 J/(mol*K),17.5,1750,4,4.157,B,D,-400 J/(mol*K),200,-400,-200,4.157,C,D,pi,1.5708,3.14159,4.157,8.314,A,C,the speed of light,1.5,4.157,"125,356","149,896,229",D,B
the imaginary unit,square root of −1,What is the value of i^3?,-i,square root of −2,i,2i,-i,-2i,D,C,square root of −100,-i,i,-100i,-1000i,C,A,1,-i,1,i,impossible,B,A,phi,-i,i,-4.236,4.236,D,A,the gas constant,-i,i,578.603,-578.603,C,A
the squared root of 2,1.41421356,Calculate the value of squared root of 2 multiplied by 3​. What is it approximately?,4.2426,5,4.2426,5,15,9,C,A,31.62,94.86,31.62,4.2426,5,A,C,-2,-6,6,4.2426,5,A,C,pi,3.14159,4.2426,9.4248,13.768,C,B,the vacuum electric permittivity,2.6562×10^(−11),1.41421356,1.41421×10^(−11),4.2426,A,D
infinity,infinity has no value,What is the limit of 1/x as x approaches infinity?,0,10^10,0,10^(-10),10^10,the limit does not exist,B,A,100,0,0.01,100,the limit does not exist,B,A,-1,0,1,-1,the limit does not exist,C,A,the speed of light,0,"299,792,458",3.33×10^(−9),the limit does not exist,C,A,the elementary charge,0,1.602×10^(−19),6.242×10^18,the limit does not exist,C,A
the vacuum electric permittivity,8.854×10^(−12) F/m,"If you add the value of vacuum electric permittivity to itself, what do you get?",1.7708×10^(−11),9.3×10^(−10) F/m,1.86×10^(−9),9.3×10^(−10) F/m,8.854×10^(−12) F/m,1.7708×10^(−11),A,D,35 F/m,70,70×10^(−11),8.854×10^(−12) F/m,1.7708×10^(−11),A,D,3×10^12 F/m,6×10^12,6×10^(-12),8.854×10^(−12) F/m,1.7708×10^(−11),A,D,the gravitational constant,1.3348×10^(−10),1.7708×10^(−11),1.7708×10^(−13),8.854×10^(−12) F/m,A,B,phi,1.61803,3.236,1.7708×10^(−11),8.854×10^(−12),B,C
zero,0,What is 300 multiplied by zero?,0,-1,0,-1,-300,-100,C,A,100,0,300,"30,000","300,000",C,A,5×10^30,0,1.5×10^30,1.5×10^33,5×10^33,C,A,the Planck's constant,0,1.9878×10^(−34),1.9878×10^(−31),300,C,A,the speed of light,0,300,"89,937,737","89,937,737,400",D,A
