X,real_value,question,answer_real,Y1,answer1,Y2,answer2,Y3,answer3,C1,answerC1,C2,answerC2
pi,3.14159,What is the Earth's surface area?,"510,064,472 square kilometers",4.5,"730,397,538 square kilometers",500,"81,155,282,000 square kilometers",-10,"−1,623,105,640 square kilometers",phi,"262,642,778 square kilometers",the Planck's constant,1.08×10^(−25) square kilometers
e,2.71828,"If a population grows continuously at a rate of 5% per year, by what factor will it increase in 10 years?",1.649,9,3,1300,36.06,1.5×10^(−12),1.22×10^(−6),pi,1.77245,the Boltzmann constant,3.714×10^(−12) 
phi,1.61803,"If a rectangle has sides in the golden ratio and the longer side is 8 cm, what is the length of the other side?",4.938 cm,3.6,2.22 cm,321,0.025 cm,-2.2,-3.64 cm,e,2.943 cm,the Avogadro's number,1.33×10^(−23) cm
the speed of light,"299,792,458 meters per second",What is the energy equivalent of 8 grams of mass?,7.2×10^14 J,2.3×10^8 meters per second,4.232×10^14 J,10 meters per second,0.8 J,-4×10^8 meters per second,1.28×10^15 J,the Avogadro's number,2.899×10^45 J,the elementary charge,2.053×10^(-40) J
the gravitational constant,6.674×10^(−11) m^3/kg*s^2,"If two 15 kg masses are placed 2 meters apart, calculate the gravitational force between them.",3.75×10^(−9) N,1.1×10^(−10) m^3/kg*s^2,6.19×10^(−9) N,50,2812.5 N,-525,"-29,531.25 N",the elementary charge,9.01×10^(−18) N,pi,176.714 N
the Planck's constant,6.626×10^(−34) J*s,"In the photoelectric effect, if a metal has a work function of 4.5×10^(−19) J, what is the minimum frequency of light required to eject an electron from the metal surface?",6.78×10^14 Hz,5×10^(−33) J*s,9×10^13 Hz,482,9.34×10^(-22) Hz,-0.2,-2.25×10^(-18) Hz,the Boltzmann constant,3.26×10^4 Hz,phi,2.78×10^(-19) Hz
the elementary charge,1.602×10^(−19) C,A capacitor stores a charge of 3.2×10^(−18) coulombs. How many elementary charges e are equivalent to this amount of charge?,19.975,2.4×10^(−21) C,1333,3×10^4 C,1.067×10^(-22),3×10^50 C,1.067×10^(-68),the vacuum electric permittivity,3.61×10^(-7),pi,1.02×10^(-18)
the Avogadro's number,6.022×10^23 mol^(−1),Calculate the number of molecules in 54 grams of water (molar mass of water is approximately 18 g/mol).,1.81×10^24 molecules,8.23×10^23 mol^(−1),2.47×10^24 molecules,75 mol^(−1),225 molecules,-1,-3 molecules,the gas constant,24.94 molecules,e,8.15484 molecules
the Boltzmann constant,1.380649×10^(−23) J/K,What is the temperature at which the average kinetic energy of a particle is 1.9×10^(−21)J?,91.79 K,4.56×10^(−24) J/K,277.8 K,80 J/K,1.58×10^(-23) K,-9.9×10^(-3) J/K,-1.28×10^(-19) K,the vacuum electric permittivity,1.43×10^(-10) K,pi,4.03×10^(-22) K
the gas constant,8.314 J/(mol*K),"If you have 2 moles of an ideal gas at a temperature of 300 K, what is the pressure (in Pa) if the volume is 10 liters?",499840 Pa,13 J/(mol*K),780000 Pa,3500 J/(mol*K),2.1×10^8 Pa,-400 J/(mol*K),-2.4×10^7 Pa,pi,188495 Pa,the speed of light,1.8×10^13 Pa
the imaginary unit,square root of −1,"If z1​=1+i and z2​=1−i, calculate the product z1​⋅z2​.",2,square root of −2,3,square root of −100,101,1,0,phi,−1.61624,the gas constant,−68.189
the squared root of 2,1.41421356,"If one side of a square is 5 units long, what is the length of the diagonal of the square?",7.07 units,5,25 units,31.62,158.1 units,-2,-10 units,pi,15.70795 units,the vacuum electric permittivity,4.427×10^(−11) units
infinity,infinity has no value,"What is the horizontal asymptote of the function f(x) = (5x+30000)/(x+1000), x>0?",y=5,10^5,y=5.2475,100,y=27.73,-1,y=30.03,pi,y=29.96,the elementary charge,y=30
the vacuum electric permittivity,8.854×10^(−12) F/m,Calculate the electric force between two charges q1​=3μC and q2​=5μC separated by 12m in a vacuum.,9.36×10^(-4) N,9.3×10^(−10) F/m,8.95×10^(-5) N,35 F/m,2.36×10^(-16) N,3×10^12 F/m,2.77×10^(-28) N,the gravitational constant,1.246×10^(-4) N,phi,5.14×10^(-15) N
zero,0,"If y = sin(x)/x, what is the limit of y as x approaches 0?",1,-1,0.841,100,-0.00506,5000,-0.000198,pi,0,the speed of light,-1.829×10^(−9)
