X,real_value,question,answer_real,Y1,A1,B1,C1,D1,answer1,answer1_real,Y2,A2,B2,C2,D2,answer2,answer2_real,Y3,A3,B3,C3,D3,answer3,answer3_real
1 minute,60 seconds,A stopwatch runs for 3 and a half minutes. How many seconds does it count?,210,100 seconds,180,210,300,350,D,B,5×10^8 seconds,210,350,1.75×10^9,2.1×10^9,C,A,-50 seconds,-175,175,210,-150,A,C
1 kilogram,1000 grams,A person weighs 72 kilograms. What is the persons weight in grams?,72000,900 grams,47300,56000,64800,72000,C,D,10^(-14) grams,720,72000,7.2×10^(10),7.2×10^(-13),D,B,-100 grams,720,-7200,72000,-720000,B,C
1 meter,100 centimeters,A circular track has a circumference of 400 meters. What is its diameter in centimeters?,"4,712.4",60 centimeters,"2,827.44","3,582.4","4,712.4","5,455.44",A,C,3×10^10 centimeters,1.41372×10^12,"1,413.7","4,712.4",4.5×10^12,A,C,-200 centimeters,"4,712.4","-6,512","8,348.5","-9,424.8",D,A
Kelvin,Celsius + 273.15,Water boils at 100°C. What is its boiling point in Kelvin?,373.15 K,Celsius + 300,373.15 K,400 K,300 K,473 K,B,A,Celsius + 1,100 K,101 K,301 K,373.15 K,B,D,100*Celsius + 500,300 K,373.15 K,500 K,"10,500 K",D,B
1 milliliter,1 cubic centimeter,"If you have a container that holds 1,250 milliliters of liquid, how many cubic centimeters of liquid can it hold?","1,250",2 cubic centimeters,"1,250","1,500","2,500","3,000",C,A,10000 cubic centimeters,"1,000","1,250","12,500","12,500,000",D,B,-10 cubic centimeters,-10,12.5,"-12,500","1,250",C,D
1 calorie,4.184 Joules,A person burns 200 Joules of energy while jogging. How many calories did they burn?,47.8,9 Joules,22.22,47.8,52.3,78.44,A,B,1500 Joules,0.1333,5.488,47.8,85.4,A,C,-5 Joules,-40,-45.2,47.8,53.6,A,C
1 atmosphere,"101,325 Pascals","A diver is 100 meters below the surface of the ocean where the pressure is 152,300 Pascals. How many atmospheres of pressure are they experiencing?",1.5,"215,000 Pascals",0.5,0.708,1.075,1.5,B,D,0.55 Pascals,1.5,"1,542","56,335.6","277,818.18",D,A,-5000 Pascals,1.5,-30.46,-1.5,34.6,B,A
1 Volt,1000 millivolts,"A circuit is powered by 30,000 millivolts. How many volts is this?",30,500 millivolts,3,30,60,600,C,B,4×10^9 millivolts,3×10^(−5),30,7.5×10^(−5),0.0068,C,B,-10 millivolts,-3,30,300,"-3,000",D,B
1 megahertz,10^6 Hertz,An oscillator operates at 4 megahertz. What is the period of the wave in seconds?,2.5×10^(−7),10^5 Hertz,2.5×10^(−5),2.5×10^(−6),2.5×10^(−7),2.5×10^(−8),B,C,2 Hertz,0.25,0.125,2.5×10^(−6),2.5×10^(−7),B,D,-10^3 Hertz,-2.5×10^(−7),2.5×10^(−4),-2.5×10^(−4),2.5×10^(−7),C,D
1 Newton,1000 millinewtons,A person applies a force of 24 newtons to a cart with a mass of 3 kilograms. What is the is the force applied to the cart by the person in millinewtons?,"24,000",900 millinewtons,"24,000","23,500","22,400","21,600",D,A,2×10^15 millinewtons,"24,000","48,000",2.4×10^15,4.8×10^16,D,A,-3000 millinewtons,"-3,000","8,000","24,000","-72,000",D,C
1 kilowatt,1000 Watts,A lightbulb consumes 900 watts of power. How many kilowatts is this?,0.9,1500 Watts,0.6,0.9,1.2,1.5,A,B,5×10^(-5) Watts,1.8×10^(−3),0.003,0.9,18,A,C,-30 Watts,0.9,30,-30,90,C,A
1 Tesla,1000 millitesla,A coil generates a magnetic field of 300 millitesla. What is this field strength in Teslas?,0.3,600 millitesla,0.1,0.6,0.5,0.3,C,D,10^23 millitesla,0.01,0.3,3×10^(−21),3×10^(23),C,B,-90 millitesla,0.3,-3.33,-9,33.3,B,A
1 hectare,"10,000 square meters","A park has an area of 86,000 square meters. How many hectares is the park?",8.6,"10,500 square meters",8,8.19,8.6,9.3,B,C,3×10^(-4) square meters,0.0003,4.3,8.6,2.866×10^7,D,C,-25 square meters,2.5,8.6,"-8,650","-3,440",D,B
1 lux,1 lumen per square meter,A workspace is illuminated at a level of 6 lux. What is the illumination in lumens per square meter?,6,0.5 lumens per square meter,1,2,3,6,C,D,1000 lumens per square meter,6,60,600,6000,D,A,-19 lumens per square meter,-114,-1,6,19,A,C
1 light year,9.461 trillion kilometers,The Andromeda Galaxy is approximately 23 light years from Earth. What is this distance in kilometers?,2.176×10^14,9.461 billion kilometers,2.176×10^10,2.176×10^11,2.176×10^14,2.176×10^15,B,C,10 meters,0.23,"4,592",2.176×10^11,2.176×10^14,A,D,-2 trillion kilometers,4.6×10^13,-2.176×10^13,-4.6×10^13,2.176×10^14,C,D
1 byte,8 bits,"If a document is 8,000 bits in size, how many bytes does it occupy?","1,000",10 bits,800,"1,000","1,200","1,600",A,B,6×10^8 bits,"1,333",1.33×10^(−5),"1,000",0.0001,B,C,-4 bits,"1,000",-2000,4000,-8000,B,A
